Signature ID,Percent Overlap (P605_H_p),adj p-val (P605_H_p),Overlap (P605_H_p),Score (P605_H_p)
PERT-PSP_NOCODAZOLE,52.7,0.0131833575,Q13085;S80-p;u|Q9H410;S109-p;u|Q13501;S272-p;u|P18858;S76-p;u|Q12959;S158-p;u|Q9Y6D9;S428-p;u|P52948;S612-p;u|P16949;S25-p;u|P06493;T161-p;u|Q13042;T581-p;u|P05412;S63-p;u|P16949;S16-p;u|P52948;S839-p;u|Q9BWF3;S86-p;u|O14757;S301-p;u|P62826;S135-p;u|P06748;T234-p;u|Q8WWK9;T579-p;u|Q13042;S560-p;u|Q8TAP9;S93-p;u|Q9H1A4;S355-p;u|P06748;T199-p;u|P23528;S3-p;u|Q13501;T269-p;u|P41252;S1047-p;u|P06748;T237-p;u|P16949;S38-p;u|Q01167;S428-p;u|O00159;S408-p;u|Q9H1A4;S688-p;u|P53621;S173-p;u|P16401;T11-p;u|Q9H1A4;T291-p;u|Q14807;S427-p;u|P23443;S447-p;u|Q9H1A4;S377-p;u|Q9H8Y8;T225-p;u|P23443;T444-p;u|P30260;S426-p;u|O14974;T696-p;u|Q12888;T1609-p;u|Q8IXJ6;S368-p;u|Q9H1A4;S341-p;u|Q9UJX6;S534-p;u|P52948;S608-p;u|P67870;S209-p;u|Q53HL2;S219-p;u|P16949;S63-p;u|Q9NPQ8;S502-p;u|P25490;T378-p;u|P28066;S16-p;u|Q9BY44;S506-p;u|Q9H8Y8;T222-p;u|Q12888;S1618-p;u|Q8WWK9;T597-p;u|Q12906;T592-p;u|P30050;S38-p;u|P08670;S56-p;u|P36507;S222-p;u,4.5513000488
PERT-PSP_LPA,61.1,0.0305836139,Q16539;Y182-p;u|Q16539;T180-p;u|P27361;T202-p;u|Q15139;S910-p;u|Q9BZL6;S710-p;u|P23528;S3-p;u|P28482;T185-p;u|Q15418;S380-p;u|P27361;Y204-p;u|P28482;Y187-p;u|P49841;S9-p;u,3.3756000996
PERT-PSP_IONIZING_RADIATION,17.6,0.0086052632,P78527;T2638-p;u|P04792;S82-p;u|Q13263;S473-p;u|O60934;S397-p;u|P78527;S2612-p;u|P78527;T2647-p;u|O14757;S296-p;u|Q9UQE7;S1083-p;u|P27361;T202-p;u|P28482;T185-p;u|P27361;Y204-p;u|O60934;S343-p;u|P28482;Y187-p;u|P49841;S9-p;u|P38398;S1524-p;u,5.4402999878
PERT-PSP_INSULIN,41.6,0.3457777667,Q16539;Y182-p;u|Q16539;T180-p;u|Q13541;S65-p;u|Q6R327;T1135-p;u|Q13541;T70-p;u|P45983;T183-p;u|P62753;S235-p;u|P27361;T202-p;u|O60343;S341-p;u|P62753;S236-p;u|P62753;S240-p;u|Q96B36;T246-p;u|P28482;T185-p;u|P35568;S1101-p;u|P42345;S2481-p;u|P27361;Y204-p;u|P23443;S447-p;u|P23443;T444-p;u|P28482;Y187-p;u|Q8N122;S863-p;u|P35568;S636-p;u|O43524;T32-p;u|O60343;S588-p;u|Q86TI0;T596-p;u|P49841;S9-p;u|P35568;S323-p;u|P49815;T1462-p;u|P49815;S939-p;u|O60343;T642-p;u|O60343;S318-p;u|P13639;T57-p;d|P35568;S348-p;d,-1.7101000547
PERT-PSP_IGF_1,30.6,0.1300328064,Q16539;Y182-p;u|Q16539;T180-p;u|P62753;S235-p;u|P62753;S236-p;u|Q92934;S99-p;u|P42345;S2481-p;u|P23443;S447-p;u|P23443;T444-p;u|P04049;S259-p;u|O43524;T32-p;u|P49841;S9-p;u,2.3515000343
PERT-PSP_EXERCISE,52.4,0.0358532975,Q86TI0;S237-p;u|P27361;T202-p;u|P28482;T185-p;u|P27361;Y204-p;u|P28482;Y187-p;u|Q86TI0;T596-p;u|Q05469;S855-p;u|Q13555;T287-p;u|Q13557;T287-p;u|P08559;S293-p;d|P08559;S300-p;d,-2.8373000622
PERT-PSP_EGF,33.3,0.0131833575,Q16539;Y182-p;u|Q16539;T180-p;u|Q92576;S1925-p;u|P08559;S293-p;u|P43243;S188-p;u|Q6R327;T1135-p;u|P15336;T71-p;u|P51812;S386-p;u|Q53EL6;S457-p;u|P45983;T183-p;u|P62753;S235-p;u|Q07912;Y859-p;u|P40763;Y705-p;u|Q7Z5L9;S240-p;u|P16949;S25-p;u|P05412;S63-p;u|Q3V6T2;S1417-p;u|P16949;S16-p;u|P45984;T183-p;u|Q13425;S222-p;u|P16144;S1494-p;u|P62753;S236-p;u|P62753;S240-p;u|P00533;S991-p;u|O94929;S503-p;u|O60271;T217-p;u|Q96B36;T246-p;u|Q13153;S144-p;u|Q92934;S99-p;u|Q15418;S380-p;u|Q8IZP0;S225-p;u|Q8TEH3;S523-p;u|P51812;T365-p;u|P00533;T693-p;u|P27708;S1859-p;u|P35222;S552-p;u|Q8N122;S863-p;u|P42702;S1044-p;u|Q68CZ2;S776-p;u|Q9C0C2;S1385-p;u|P36507;S226-p;u|P45984;Y185-p;u|P35579;S1943-p;u|Q68CZ2;Y780-p;u|Q9UQ35;S2272-p;u|Q15418;T573-p;u|P49841;S9-p;u|P42566;S796-p;u|P04049;S621-p;u|P51812;S227-p;u|P36507;S222-p;u|Q07889;S1134-p;u|Q14247;S418-p;u|P40763;S727-p;u|P12270;S2155-p;u,3.4786999226
PERT-PSP_ANTI_CD3,25.7,0.0086052632,Q13263;S473-p;u|Q16539;Y182-p;u|Q16539;T180-p;u|Q9UKX7;S221-p;u|Q15154;S93-p;u|Q9NRY4;Y1105-p;u|P27361;T202-p;u|P16949;S25-p;u|P16949;S16-p;u|P28482;T185-p;u|P16949;S38-p;u|P19634;S703-p;u|P06239;Y394-p;u|P27361;Y204-p;u|P28482;Y187-p;u|P36507;S226-p;u|P49841;S9-p;u|P36507;S222-p;u|Q14247;S418-p;u,3.7599000931
PERT-P100-PRM_DMSO,83.3,0.4291604663,P35658;S1023-p;u|Q92785;S142-p;u|Q9Y520;S1544-p;d|P06493;T161-p;d|Q9ULW0;S738-p;d|Q96B97;S230-p;d|Q6PL18;S327-p;d|Q9NX40;S108-p;d|P42167;S306-p;d|Q86WB0;S321-p;d,1.4687999487
PERT-P100-DIA2_ZEBULARINE,69.2,0.9837405582,P08670;S430-p;u|Q9NVT9;S260-p;u|Q05209;S435-p;u|Q9Y618;S67-p;u|Q15154;S93-p;u|Q9Y2V2;S30-p;u|Q9NVD7;S14-p;u|Q14671;S209-p;u|Q05519;S207-p;u|O75533;T227-p;u|Q9UEY8;S681-p;u|P62753;S240-p;u|Q86U70;S302-p;u|P50402;S171-p;u|P06748;T199-p;u|Q8NDT2;S562-p;u|Q9Y2W1;S248-p;u|Q12802;S1929-p;u|P49585;S329-p;u|P06493;Y15-p;u|Q92540;S781-p;u|Q04637;S1092-p;u|O94804;T952-p;u|P42166;S351-p;u|Q96RL1;S653-p;u|O00193;S17-p;u|P62140;T316-p;u|P11172;S214-p;u|Q684P5;S507-p;u|Q96ST2;S720-p;u|O43166;S1127-p;u|P04183;S13-p;u|Q9ULD2;S1245-p;u|Q04724;S286-p;u|Q9UQ35;S2702-p;u|Q9UQ35;T2289-p;u|P27448;S419-p;u|Q14690;S1360-p;u|Q6ZS17;S401-p;u|P20700;S391-p;u|P20700;S393-p;u|Q86VM9;S868-p;u|Q15291;S497-p;u|Q7Z6Z7;S1084-p;d|P08559;S293-p;d|Q00613;S363-p;d|Q14157;S609-p;d|Q1MSJ5;S459-p;d|Q9UPN4;S78-p;d|P16144;S1518-p;d|Q8IXT5;S254-p;d|Q53H80;S21-p;d|Q9Y2K6;S413-p;d|O15231;S64-p;d|Q08357;S324-p;d|P38159;S352-p;d|Q6UUV7;S62-p;d|Q01196;S212-p;d|P60468;S17-p;d|Q9BW71;S227-p;d|Q9UQ35;S1857-p;d|P55884;S119-p;d|Q9NYL2;S727-p;d|Q86VM9;S534-p;d|Q9H063;S75-p;d|Q8IZP0;S225-p;d|Q8IYB3;S874-p;d|O60885;S1051-p;d|Q7Z309;S25-p;d|Q09666;S177-p;d|Q8NDI1;S1058-p;d|P26358;S1105-p;d|Q96FS4;S67-p;d|P08238;S255-p;d|Q15773;S238-p;d|Q9C0C2;S1385-p;d|O60583;S480-p;d|Q5SNT2;S454-p;d|Q6P4R8;S298-p;d|Q9H0X9;S747-p;d|Q9BYW2;T2056-p;d|Q06210;S261-p;d|O00303;S258-p;d|Q86X27;S343-p;d|Q68EM7;S484-p;d|Q9UQ35;T983-p;d|Q9C0D5;S1503-p;d|O00401;S430-p;d|Q7RTP6;S1649-p;d|P02545;S22-p;d|Q9UKV3;S729-p;d|Q9C0C9;S401-p;d,0.0195000004
PERT-P100-DIA2_VX-970,63.4,0.0709224986,Q15654;S92-p;u|Q9NRA8;S587-p;u|P35658;S1023-p;u|Q9P2D0;S1045-p;u|P53367;S132-p;u|Q9BWH2;S151-p;u|Q15390;S119-p;u|Q8IVT2;S394-p;u|Q9UHB6;S604-p;u|P19338;S67-p;u|Q09666;S5752-p;u|Q14493;T171-p;u|O95817;S279-p;u|Q6WCQ1;S269-p;u|Q13459;T1346-p;u|P16144;S1474-p;u|Q9NRY4;S1179-p;u|Q9C0C2;S672-p;u|Q6WCQ1;T542-p;u|Q09666;T5184-p;u|O76021;S427-p;u|Q92540;S781-p;u|O76021;S361-p;u|Q9Y281;S3-p;u|P11717;S2409-p;u|Q8IYB3;S638-p;u|P46821;T1949-p;u|Q03111;S475-p;u|O75396;S137-p;u|Q96N67;S1383-p;u|P27708;S1406-p;u|Q14978;S698-p;u|O60825;S483-p;u|Q96RT1;S1179-p;u|Q9NRA0;S387-p;u|Q13523;Y849-p;u|P09884;S186-p;u|Q96Q42;S1335-p;u|Q96MU7;S424-p;u|O94921;S95-p;u|Q8WUI4;S181-p;u|P27448;S419-p;u|Q00537;S180-p;u|Q9HAU0;S855-p;u|O95835;S613-p;u|O95613;S1653-p;u|Q96IF1;S263-p;u|Q96A65;T237-p;u|Q16555;T509-p;u|O95685;S74-p;u|Q86UU1;S461-p;u|Q02952;S612-p;u|P46821;S1265-p;u|P57740;S86-p;u|P85037;S445-p;d|P17535;S100-p;d|O75420;S862-p;d|Q9NTI5;S1257-p;d|Q15365;S264-p;d|Q8NE71;S166-p;d|P46013;S357-p;d|Q86SQ0;S212-p;d|Q13017;S968-p;d|Q09666;S135-p;d|Q8NI08;S89-p;d|Q9UPQ0;S231-p;d|O15231;S465-p;d|Q14671;S209-p;d|P16949;S25-p;d|Q9Y490;S425-p;d|P05412;S63-p;d|Q9UPN3;S1376-p;d|Q8WX93;S893-p;d|Q86U70;S302-p;d|A2A3K4;S438-p;d|P23528;S3-p;d|C9JLW8;S21-p;d|Q5SYE7;S1089-p;d|Q05519;S449-p;d|Q9H3Q1;S174-p;d|Q7Z333;S1366-p;d|Q9GZR2;S15-p;d|Q8N1W1;S758-p;d|Q12769;S1157-p;d|P06493;Y15-p;d|Q5W0B1;S210-p;d|Q9P2F8;S1461-p;d|Q15149;S4382-p;d|Q6ZRI6;S586-p;d|Q96D71;S143-p;d|Q86TB9;S184-p;d|Q9Y2W2;S181-p;d|Q9P0K7;T249-p;d|Q9BZ23;S169-p;d|P36507;S226-p;d|P48651;S417-p;d|Q86SQ0;S242-p;d|O00443;S259-p;d|Q969S3;S143-p;d|Q9NUQ6;S135-p;d|Q14684;S736-p;d|O14974;S507-p;d|Q9NZC9;S112-p;d|Q9UPN9;S1119-p;d|Q16181;T426-p;d|Q69YQ0;S868-p;d|Q01082;T2187-p;d|Q13480;S551-p;d|P15056;S151-p;d|Q5T200;S1208-p;d|P12270;S2155-p;d,-2.7794001102
PERT-P100-DIA2_VU0155056,64.5,0.8252139566,Q7Z6Z7;S1084-p;u|Q00613;S363-p;u|Q9H0B6;S610-p;u|Q14980;S1225-p;u|Q5HYJ3;S193-p;u|Q6PKG0;S824-p;u|Q12906;S382-p;u|Q9NYF8;S648-p;u|Q6PID6;S197-p;u|P98174;S135-p;u|O95714;S2454-p;u|Q8TF72;S910-p;u|Q92945;S480-p;u|P23528;S3-p;u|Q5VT25;S1629-p;u|Q92934;S99-p;u|Q9ULL8;S664-p;u|Q9H1A4;S688-p;u|Q6PKG0;T785-p;u|Q6WCQ1;T542-p;u|Q7Z5Q1;S89-p;u|Q9Y5K6;S458-p;u|Q9HCE5;S399-p;u|Q03111;S475-p;u|Q9Y2H2;S123-p;u|P35222;S552-p;u|Q9UPY8;S162-p;u|Q5SW79;S359-p;u|O60825;S466-p;u|Q9BST9;S106-p;u|Q96JM3;S214-p;u|Q13428;S1378-p;u|Q13523;Y849-p;u|Q12888;S1618-p;u|Q96Q42;S1335-p;u|Q9NZN5;T736-p;u|Q5JSH3;T219-p;u|Q06210;S261-p;u|Q13322;S476-p;u|Q15562;S260-p;u|Q5VWQ8;S978-p;u|P60981;S3-p;u|P82970;T31-p;u|Q15149;S4386-p;u|Q6PKG0;S774-p;u|O60343;S318-p;u|Q13427;T358-p;d|Q14980;S1840-p;d|P49006;S22-p;d|Q9Y608;S328-p;d|Q13283;S232-p;d|Q6PKG0;S548-p;d|Q6PKG0;S517-p;d|Q05519;S449-p;d|Q8TAD8;S52-p;d|Q92540;S781-p;d|Q5QJE6;S141-p;d|P29401;Y275-p;d|P51812;S715-p;d|Q9UK58;S374-p;d|Q92597;S330-p;d|Q8IYB3;S638-p;d|Q9GZR1;S221-p;d|P35611;S12-p;d|Q9NYM9;S9-p;d|P15408;S200-p;d|P29590;S505-p;d|Q4KMP7;T148-p;d|Q8NG27;S70-p;d|Q9UKV3;S561-p;d|Q14978;S538-p;d,-0.416200012
