Signature ID,Percent Overlap (P605_H_p),adj p-val (P605_H_p),Overlap (P605_H_p),Score (P605_H_p)
PERT-PSP_VIRUS_INFECTION,33.3,0.0131833575,Q16539;Y182-p;u|Q16539;T180-p;u|P27361;T202-p;u|Q13315;S1981-p;u|P28482;T185-p;u|Q92934;S99-p;u|P08670;S83-p;u|P27361;Y204-p;u|P28482;Y187-p;u|P05783;S34-p;u,3.418900013
PERT-PSP_UV,33.3,0.0086052632,Q13263;S473-p;u|Q16539;Y182-p;u|Q16539;T180-p;u|P78527;T2647-p;u|Q92804;S97-p;u|Q9NZT2;S420-p;u|Q9UBE0;S185-p;u|Q13428;S1410-p;u|P15336;T71-p;u|P27361;T202-p;u|Q13098;S474-p;u|P05412;S63-p;u|P45984;T183-p;u|Q13315;S1981-p;u|O14757;S317-p;u|O95251;S50-p;u|P28482;T185-p;u|Q9H063;S75-p;u|P06493;Y15-p;u|P27361;Y204-p;u|O60934;S343-p;u|P28482;Y187-p;u|P45984;Y185-p;u|P30307;S216-p;u|Q02156;S346-p;u|Q13098;T479-p;u|P38398;S1524-p;u|P40763;S727-p;u,5.1059999466
PERT-PSP_U0126,58.3,0.9455668008,O43765;S305-p;d|P27361;T202-p;d|P40763;Y705-p;d|P16949;S25-p;d|P28482;T185-p;d|O95817;S377-p;d|P06493;Y15-p;d|P27361;Y204-p;d|P28482;Y187-p;d|Q7Z4V5;S454-p;d|P29317;S901-p;d|Q9UPN9;S1119-p;d|P40763;S727-p;d|Q9UJU6;S269-p;d,-0.1456999928
PERT-PSP_TNF,41.2,0.0086052632,P04792;S82-p;u|Q16539;Y182-p;u|Q16539;T180-p;u|P15336;T71-p;u|P45983;T183-p;u|P27361;T202-p;u|P45984;T183-p;u|P28482;T185-p;u|Q15418;S380-p;u|P27361;Y204-p;u|P00533;T693-p;u|P28482;Y187-p;u|P35568;S307-p;u|P45984;Y185-p;u,4.8888001442
PERT-PSP_THROMBIN,41.7,0.0668660379,P04792;S82-p;u|Q16539;Y182-p;u|Q16539;T180-p;u|P27361;T202-p;u|P28482;T185-p;u|P24844;S20-p;u|P27361;Y204-p;u|O14974;T696-p;u|P28482;Y187-p;u|Q05655;T507-p;u,2.985699892
PERT-PSP_SII_ANGIOTENSIN_2,66.7,0.0305836139,Q15121;S116-p;u|Q9BVC5;S189-p;u|P43243;S188-p;u|Q9BVC5;S193-p;u|Q9Y2V2;S30-p;u|Q9UBC2;S255-p;u|P27361;T202-p;u|Q9Y2V2;S41-p;u|Q9BTC0;S1456-p;u|Q9UN36;S332-p;u|Q9Y2X7;S592-p;u|P52948;S623-p;u|P28482;T185-p;u|P27361;Y204-p;u|P28482;Y187-p;u|Q99759;S340-p;u|Q9UBM7;S14-p;u|Q86WB0;S407-p;u|Q9NWW5;S31-p;u|Q9Y2V2;S32-p;u|Q15139;S205-p;u|Q9UKV3;S710-p;u|Q9Y624;S284-p;u|Q9Y4E1;S288-p;u,3.2091999054
PERT-PSP_SERUM,40.9,0.4198237406,P23588;S422-p;u|Q6R327;T1135-p;u|P62753;S235-p;u|P24941;T160-p;u|P62753;S236-p;u|P62753;S240-p;u|Q969V6;S454-p;u|Q15418;S380-p;u|P42345;S2481-p;u|P23443;S427-p;u|P00533;T693-p;u|P23443;S447-p;u|P23443;T444-p;u|P06400;T826-p;u|P06400;S780-p;u|P49841;S9-p;u|P23443;S441-p;u|P50548;T526-p;u,1.5026999712
PERT-PSP_RAPAMYCIN,54.1,0.8608071863,P27361;T202-p;u|P27361;Y204-p;u|P28482;Y187-p;u|Q13541;S65-p;d|Q6R327;T1135-p;d|Q13541;T70-p;d|P62753;S235-p;d|Q9NYV6;S44-p;d|Q99543;S47-p;d|P62753;S236-p;d|P62753;S240-p;d|Q9H063;S75-p;d|P42345;S2481-p;d|P23443;S447-p;d|P23443;T444-p;d|O75385;S758-p;d|Q99543;S49-p;d|Q96B36;S183-p;d|Q9H063;S60-p;d|Q9H063;S68-p;d,0.5055999756
PERT-PSP_PHORBOL_ESTER,29.2,0.3457777667,Q16539;Y182-p;u|Q16539;T180-p;u|P51812;S386-p;u|P52565;S34-p;u|P45983;T183-p;u|P62753;S235-p;u|P27361;T202-p;u|P16949;S25-p;u|P62753;S236-p;u|P62753;S240-p;u|P51812;S369-p;u|P28482;T185-p;u|P16949;S38-p;u|Q15418;S380-p;u|P46940;S1443-p;u|P49815;S981-p;u|P27361;Y204-p;u|P51812;T365-p;u|P00533;T693-p;u|P23443;S447-p;u|P02786;S24-p;u|P23443;T444-p;u|P49815;S664-p;u|P28482;Y187-p;u|Q8N122;S863-p;u|P35568;S307-p;u|Q05655;S645-p;u|P49841;S9-p;u|P51812;S227-p;u|P36507;S222-p;u|Q05655;T507-p;u|P35611;S726-p;u|P40763;S727-p;u,1.7842999697
PERT-PSP_OKADAIC_ACID,26.8,0.099934803,P35222;S45-p;u|P45983;T183-p;u|P27361;T202-p;u|P05412;S63-p;u|Q13315;S1981-p;u|O14757;S317-p;u|P28482;T185-p;u|P27361;Y204-p;u|P28482;Y187-p;u|P49841;S9-p;u|Q9Y6E0;T190-p;u,2.4756999016
