Signature ID,Percent Overlap (P924_H_p),adj p-val (P924_H_p),Overlap (P924_H_p),Score (P924_H_p)
PERT-PSP_UV,34.5,0.0442465753,Q92804;S97-p;u|Q13428;S1410-p;u|O15355;S183-p;u|Q9NZT2;S420-p;u|Q16539;T180-p;u|Q13263;S473-p;u|P78527;T2647-p;u|P15336;T71-p;u|Q16539;Y182-p;u|Q14683;S957-p;u|P05412;S63-p;u|O95260;S169-p;u|Q13315;S1981-p;u|Q9UBE0;S185-p;u|P38398;S1524-p;u|O60934;S343-p;u|O14757;S317-p;u|P06493;Y15-p;u|P40763;S727-p;u|P30307;S216-p;u|P27707;S74-p;u|P27361;T202-p;u|P27361;Y204-p;u|Q9H063;S75-p;u|P28482;Y187-p;u|Q02156;S346-p;u|Q13098;T479-p;u|Q13098;S474-p;u|P28482;T185-p;u,3.1335000992
PERT-PSP_U0126,58.3,0.7718334297,P40763;Y705-p;d|P16949;S25-p;d|Q7Z4V5;S454-p;d|Q9UPN9;S1119-p;d|O95817;S377-p;d|O43765;S305-p;d|P06493;Y15-p;d|P40763;S727-p;d|P27361;T202-p;d|P27361;Y204-p;d|P29317;S901-p;d|P28482;Y187-p;d|P28482;T185-p;d|Q9UJU6;S269-p;d,0.5856999755
PERT-PSP_THROMBIN,41.7,0.737637242,Q16539;T180-p;u|Q16539;Y182-p;u|P04792;S82-p;u|P24844;S20-p;u|Q05655;T507-p;u|P27361;T202-p;u|P27361;Y204-p;u|P28482;Y187-p;u|O14974;T696-p;u|P28482;T185-p;u,-0.7092000246
PERT-PSP_SII_ANGIOTENSIN_2,77.8,0.7013052589,Q8NC51;S330-p;u|Q9Y2V2;S30-p;u|Q9Y2W1;S575-p;u|Q9BVC5;S189-p;u|Q9BVC5;S193-p;u|Q86WB0;S354-p;u|Q9BTC0;S1456-p;u|Q9UI08;S331-p;u|Q9UBC2;S255-p;u|Q9UKV3;S710-p;u|Q9UN36;S332-p;u|P43243;S188-p;u|Q86YS7;S659-p;u|P52948;S623-p;u|Q15121;S116-p;u|Q9Y2V2;S32-p;u|Q9Y4E1;S288-p;u|Q9Y2V2;S41-p;u|Q9NWW5;S31-p;u|Q86WB0;S407-p;u|Q15139;S205-p;u|P27361;T202-p;u|P27361;Y204-p;u|P28482;Y187-p;u|Q9Y2X7;S592-p;u|Q99759;S340-p;u|P28482;T185-p;u|Q9Y624;S284-p;u,0.8095999956
PERT-PSP_SERUM,34.1,0.2484956725,P23443;S427-p;u|Q15418;S380-p;u|P62753;S235-p;u|Q969V6;S454-p;u|Q00987;S166-p;u|Q6R327;T1135-p;u|P23588;S422-p;u|P42345;S2481-p;u|P24941;T160-p;u|P23443;S447-p;u|P62753;S236-p;u|P62753;S240-p;u|P49841;S9-p;u|P50548;T526-p;u|P06400;T826-p;u,-1.9917000532
PERT-PSP_RAPAMYCIN,48.6,0.5106719368,P27361;T202-p;u|P27361;Y204-p;u|P28482;Y187-p;u|Q13541;T70-p;d|Q13541;S65-p;d|Q9NYV6;S44-p;d|P62753;S235-p;d|Q6R327;T1135-p;d|Q96B36;S183-p;d|Q99543;S49-p;d|P42345;S2481-p;d|Q99543;S47-p;d|Q9H063;S60-p;d|Q9H063;S75-p;d|P23443;S447-p;d|P62753;S236-p;d|P62753;S240-p;d|Q9H063;S68-p;d,-1.3351999521
PERT-PSP_PHORBOL_ESTER,27.4,0.1596217837,Q16539;T180-p;u|Q16539;Y182-p;u|P16949;S38-p;u|P49815;S664-p;u|P16949;S25-p;u|Q15418;S380-p;u|P51812;S386-p;u|P62753;S235-p;u|P52565;S34-p;u|P04049;S43-p;u|Q8N122;S863-p;u|P49815;S981-p;u|P40763;S727-p;u|Q9BZL6;S876-p;u|Q05655;T507-p;u|P27361;T202-p;u|P27361;Y204-p;u|Q05655;S645-p;u|P28482;Y187-p;u|P23443;S447-p;u|P46940;S1443-p;u|P62753;S236-p;u|P62753;S240-p;u|P49841;S9-p;u|P51812;S369-p;u|P51812;T365-p;u|P13796;S5-p;u|P35611;S726-p;u|P02786;S24-p;u|P28482;T185-p;u|P36507;S222-p;u,-2.5151000023
PERT-PSP_OKADAIC_ACID,26.8,0.2662746283,P05412;S63-p;u|Q13315;S1981-p;u|Q9Y6E0;T190-p;u|O14757;S317-p;u|P27707;S74-p;u|P27361;T202-p;u|P27361;Y204-p;u|P28482;Y187-p;u|P49841;S9-p;u|P28482;T185-p;u|P35222;S45-p;u,-1.9900000095
PERT-PSP_NOCODAZOLE,55.4,0.0075116279,Q13085;S80-p;u|Q9H410;S109-p;u|Q12888;S1618-p;u|P28066;S16-p;u|P16949;S63-p;u|Q00839;S59-p;u|Q9H1A4;S355-p;u|Q9H1A4;T291-p;u|Q01167;S428-p;u|P06748;T234-p;u|P11387;S10-p;u|P06748;T237-p;u|P16401;T11-p;u|P08670;S56-p;u|P05412;S63-p;u|P16949;S38-p;u|Q9H8Y8;T225-p;u|P16949;S25-p;u|Q9UJX2;T562-p;u|Q9H1A4;S341-p;u|P16949;S16-p;u|Q8WWK9;T579-p;u|P42166;S424-p;u|P27816;S787-p;u|P30050;S38-p;u|Q9H8Y8;T222-p;u|P52948;S612-p;u|O14757;S301-p;u|Q53HL2;S219-p;u|P52948;S608-p;u|P41252;S1047-p;u|P62826;S135-p;u|Q9BWF3;S86-p;u|Q13042;S560-p;u|Q9NPQ8;S502-p;u|P52948;S839-p;u|Q8TAP9;S93-p;u|Q12959;S158-p;u|P53621;S173-p;u|Q12888;T1609-p;u|P53350;T210-p;u|Q14807;S427-p;u|Q9H1A4;S688-p;u|O00159;S408-p;u|P18858;S76-p;u|P67870;S209-p;u|P06748;T199-p;u|Q13042;T581-p;u|Q8IXJ6;S368-p;u|Q9Y6D9;S428-p;u|Q12906;T592-p;u|P06493;T161-p;u|Q13501;S272-p;u|Q9BY44;S506-p;u|P18858;S66-p;u|Q9H1A4;S377-p;u|P23443;S447-p;u|Q9UJX6;S534-p;u|P23528;S3-p;u|O14974;T696-p;u|P36507;S222-p;u|Q13501;T269-p;u,7.0942997932
PERT-PSP_LPA,61.1,0.6992588442,Q16539;T180-p;u|Q16539;Y182-p;u|Q15418;S380-p;u|Q15139;S910-p;u|Q9BZL6;S710-p;u|P27361;T202-p;u|P27361;Y204-p;u|P28482;Y187-p;u|P23528;S3-p;u|P49841;S9-p;u|P28482;T185-p;u,-0.8489000201
